Codi,Institució,Latitude,Longitude,Web,Ciutat,País,Continent o Zona (CALCULAT),Estudis Mobilitat,"Mobilitat 
estudiants","Mobilitat 
docent","Col. acadèmica 
o institucional","Estudis 
conjunts",Xarxes,Factsheet,Curs d'actualització Factsheet,Estudis insti,Video promocional,,,,,,,,,,,,,,,
D FREIBUR01,Albert-Ludwigs-Universität Freiburg Im Breisgau,47.9935441,7.8459496,https://www.uni-freiburg.de/,Freiburg,Alemanya,Europa,Dret; Doble grau Dret i ADE/Eco; Doble grau en Criminologia i PPP i Dret; Llengües Aplicades; Doble grau Traducció i Interpretació i Llengües Aplicades,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Albert-Ludwigs-Universit%C3%A4t+Freiburg+Im+Breisgau.pdf/1e0ab57d-c007-e615-38b3-69af7db93064?t=1680604102228,"2026-27 (diverses factsheets, consulteu la que us correspongui)",Dret;Traducció i Interpretació,,,,,,,,,,,,,,,,
D HAMBURG01,Universität Hamburg,,,https://www.uni-hamburg.de/,Hamburg,Alemanya,Europa,Humanitats,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/d/estudiarfora/uhh_dhamburg01_humanities_fact-sheet_2026-27,2026-27,,,,,,,,,,,,,,,,,
D WEIMAR01,Bauhaus-Universität Weimar,50.9745958,11.3290373,http://www.uni-weimar.de/,Weimar,Alemanya,Europa,Comunicació Audiovisual,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Bauhaus-Universit%C3%A4t+Weimar.pdf/8abae9e7-f63e-8602-26c1-2cddc79ad638?t=1680260645578,2026-27,Comunicació Audiovisual,,,,,,,,,,,,,,,,
D TUBINGE01,Eberhard-Karls-Universität Tübingen,48.5294782,9.043774,http://www.uni-tuebingen.de/,Tübingen,Alemanya,Europa,Biologia; Enginyeria Biomèdica; Humanitats; FPE; Global Studies; Medicina; Llengües Aplicades; Doble grau Traducció i Llengües Aplicades; Dret; Doble grau en Criminologia i PPP i Dret,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Eberhard-Karls-Universit%C3%A4t+T%C3%BCbingen.pdf/baa9693b-041f-d672-db8b-a45b653226d0?t=1680261073416,2026-27,Biologia; Humanitats; Medicina; Traducció i Interpretació,,,,,,,,,,,,,,,,
D KIEL01,Christian-Albrechts-Universität zu Kiel,54.3388295,10.1202465,https://www.uni-kiel.de/,Kiel,Alemanya,Europa,Dret; Doble grau en Criminologia i PPP i Dret,FALSE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/D_KIEL01_2324.pdf/1d67d048-4287-a330-6217-b0ada0f34590?t=1680250231615,2025-26,Dret,,,,,,,,,,,,,,,,
D OESTRIC01,EBS UNIVERSITÄT FÜR WIRTSCHAFT UND RECHT (European Business School),50.0124178,8.0504806,http://www.ebs.edu,Oestrich-Winkel,Alemanya,Europa,Ciències Econòmiques i Empresarials; Dret-Eco/Ade; Dret,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/d/estudiarfora/ebs-business-school-i-law-school-factsheet-2026-27,"2026-27 (diverses factsheets, consulteu la que us correspongui)",Ciències Econòmiques i Empresarials; Dret,,,,,,,,,,,,,,,,
D GREIFS01,Universität Greifswald,54.0950147,13.374536,https://www.uni-greifswald.de/en/,Greifswald,Alemanya,Europa,Ciències Polítiques i Socials,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Ernst-Moritz-Arndt-Universit%C3%A4t+Greifswald.pdf/bf563909-2e30-fa8a-2dbb-13c8781be1e6?t=1679662359891,2025-26,Ciències Polítiques i Socials,, 28.02.2025Enviat mail per reclamar faacsheet,,,,,,,,,,,,,,
D BERLIN01,Freie Universität Berlin,52.4543245,13.2934768,http://www.fu-berlin.de/,Berlin,Alemanya,Europa,Comunicació Audiovisual; Llengües Aplicades; Màster en Història del Món; Humanitats,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Freie+Universit%C3%A4t+Berlin.pdf/d050835d-4061-b771-e8ac-6b3e57ef4650?t=1680249540173,2026-27,Comunicació Audiovisual i Traducció i Interpretació,https://www.fu-berlin.de/universitaet/leitbegriffe/filmportraet/filmportraet_englisch_lang/index.html,,,,,,,,,,,,,,,
D JENA01,Friedrich-Schiller-Universität Jena,50.9294637,11.5896585,http://www.uni-jena.de,Jena,Alemanya,Europa,"Ciències Polítiques i Socials; Llengües Aplicades
",TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Friedrich-Schiller-Universit%C3%A4t+Jena.pdf/d99cf116-3efc-857a-08c6-68189e8595d0?t=1683288762406,2026-27,Comunicació Audiovisual i Traducció i Interpretació,,,,,,,,,,,,,,,,
D DUSSELD01,HEINRICH-HEINE-UNIVERSITÄT DÜSSELDORF,,,https://www.hhu.de/en/,Düsseldorf,Alemanya,,,FALSE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/d/estudiarfora/fact_sheet_hhu_short_2026-27,2026-27,,,,,,,,,,,,,,,,,
